Row Labels,Average of num_weekly_services_utilized,Average of weekly_consumption_hour,Average of num_ideal_streaming_services,Average of age,Count of male_TF,Average of monthly_price,Average of discount_price,Average of join_fee,Average of num_trial_days,Sum of current_sub_TF,Average of payment_period,Average of last_payment_month,Average of last_payment_weekday,Average of cancel_weekday,Average of cancel_month,Average of account_creation_weekday,Average of account_creation_month,Sum of op_sys_iOS,Sum of op_sys_Android,Sum of trial_completed,Sum of package_type_base,Sum of package_type_economy,Sum of package_type_enhanced,Sum of preferred_genre_comedy,Sum of preferred_genre_drama,Sum of preferred_genre_international,Sum of preferred_genre_other,Sum of preferred_genre_regional,Sum of intended_use_access to exclusive content,Sum of intended_use_education,Sum of intended_use_expand international access,Sum of intended_use_expand regional access,Sum of intended_use_other,Sum of intended_use_replace OTT,Sum of intended_use_supplement OTT,Sum of attribution_technical_affiliate,Sum of attribution_technical_appstore,Sum of attribution_technical_bing,Sum of attribution_technical_bing_organic,Sum of attribution_technical_brand sem intent bing,Sum of attribution_technical_brand sem intent google,Sum of attribution_technical_content_greatist,Sum of attribution_technical_criteo,Sum of attribution_technical_direct_mail,Sum of attribution_technical_discovery,Sum of attribution_technical_display,Sum of attribution_technical_email,Sum of attribution_technical_facebook,Sum of attribution_technical_facebook_organic,Sum of attribution_technical_search,Sum of attribution_technical_youtube,Sum of attribution_survey_facebook,Sum of attribution_survey_direct_mail,Sum of attribution_survey_search,Sum of attribution_survey_youtube
0,3,27.896,2,28,21.56%,4.735,4.515,0.095,14,15413,1.007087564,3,3,0,1,4,7,13525,6369,18644,10237,1005,8652,13619,3681,472,529,1586,8438,0,9,7,337,8144,2959,761,10,48,16,69,1327,2,2,18,184,61,2145,4570,426,3559,184,9088,25,1203,701
1,3,28.229,2,52,30.18%,4.735,4.515,0.148,14,17484,0.827056331,3,3,1,1,4,7,18240,9613,24900,15935,2991,8927,17136,7059,1171,770,1698,13021,17,49,46,1115,9250,4355,1147,6,145,84,398,2706,1,5,36,478,229,3378,8721,447,2827,105,13364,78,1062,297
2,3,27.586,2,65,18.83%,4.735,4.515,0.180,14,8431,0.61598205,2,2,1,1,4,7,11297,6085,14580,10813,2869,3700,9709,5742,997,550,371,9018,18,36,46,1040,5078,2146,697,6,171,72,445,1946,0,8,15,366,211,2216,5384,224,1435,56,7028,42,710,141
3,3,28.291,2,40,29.43%,4.735,4.515,0.116,14,18810,0.908695972,3,3,0,1,4,7,17827,9335,24765,14818,2124,10220,17548,5867,839,792,2101,11389,9,25,21,627,10996,4095,1164,13,89,51,184,2268,1,0,35,256,125,3390,7223,524,3700,97,13523,62,1117,385
Grand Total,3.012157198,28.0546329,2.061230239,45.38421474,100.00%,4.734972037,4.515051987,0.13308328,14,60138,0.850137066,2.733538482,2.593828217,0.523073756,0.898267437,4.143968534,6.813383754,60889,31402,82889,51803,8989,31499,58012,22349,3479,2641,5756,41866,44,119,120,3119,33468,13555,3769,35,453,223,1096,8247,4,15,104,1284,626,11129,25898,1621,11521,442,43003,207,4092,1524
,,,,,,,,,,,,,,,,,,0.679853222,0.320146778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,77%,,,,,,,,0.654866621,0.345133379,94%,51%,5%,43%,68%,19%,2%,3%,8%,42%,0.00%,0.05%,0.04%,1.69%,41%,15%,0.937166985,0.937166985,0.937166985,0.937166985,0.937166985,0.937166985,0.937166985,0.937166985,0.937166985,4%,1%,,,,,,,,,
,,,,,,,,,,55%,,,,,,,,0.64992521,0.35007479,89%,57%,11%,32%,62%,25%,2%,2%,6%,47%,0.06%,0.18%,0.17%,4.00%,33%,16%,0.669371342,0.669371342,0.669371342,0.669371342,0.669371342,0.669371342,0.669371342,0.669371342,0.669371342,2%,1%,,,,,,,,,
,,,,,,,,,,89%,,,,,,,,0.656321331,0.343678669,84%,62%,17%,21%,56%,33%,3%,3%,9%,52%,0.10%,0.21%,0.26%,5.98%,29%,12%,1.072603843,1.072603843,1.072603843,1.072603843,1.072603843,1.072603843,1.072603843,1.072603843,1.072603843,3%,1%,,,,,,,,,
,,,,,,,,,,57%,,,,,,,,,,91%,55%,8%,38%,65%,22%,2%,2%,6%,42%,0.03%,0.09%,0.08%,2.31%,40%,15%,0.686400118,0.686400118,0.686400118,0.686400118,0.686400118,0.686400118,0.686400118,0.686400118,0.686400118,3%,1%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cluster,Average of Age,Average of current_sub_TF,Average of payment_period,,,,,,,,,,19894,,,,,,,,,,,Sum of preferred_genre_comedy,Sum of preferred_genre_drama,Sum of preferred_genre_international,Sum of preferred_genre_other,Sum of preferred_genre_regional,,,19894,,,,,,,,,,,,,,,,,,,,,,,
,0,28,0.774756208,1.007087564,,,,,19894,,,,,27853,,,,,,,,,,19894,13619,3681,472,529,1586,,,27853,,,,,,,,,,,,,,,,,,,,,,,
,1,52,0.627724123,0.827056331,,,,,27853,,,,,17382,,,,,,,,,,27853,17136,7059,1171,770,1698,,,17382,,,,,,,,,,,,,,,,,,,,,,,
,2,65,0.485041997,0.61598205,,,,,17382,,,,,27162,,,,,,,,,,17382,9709,5742,997,550,371,,,27162,,,,,,,,,,,,,,,,,,,,,,,
,3,40,0.692511597,0.908695972,,,,,27162,,,,,,,,,,,,,,,27162,17548,5867,839,792,2101,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,68%,19%,2%,3%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,62%,25%,4%,3%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,56%,33%,6%,3%,2%,,,,Sum of attribution_technical_affiliate,Sum of attribution_technical_appstore,Sum of attribution_technical_bing,Sum of attribution_technical_bing_organic,Sum of attribution_technical_brand sem intent bing,Sum of attribution_technical_brand sem intent google,Sum of attribution_technical_content_greatist,Sum of attribution_technical_criteo,Sum of attribution_technical_direct_mail,Sum of attribution_technical_discovery,Sum of attribution_technical_display,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,65%,22%,3%,3%,8%,,,19894,761,10,48,16,69,1327,2,2,18,184,61,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Sum of package_type_base,Sum of package_type_economy,Sum of package_type_enhanced,,,,,,,,,,27853,1147,6,145,84,398,2706,1,5,36,478,229,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sum of op_sys_iOS,Sum of op_sys_Android,,,19894,10237,1005,8652,,,,,,,,,,17382,697,6,171,72,445,1946,0,8,15,366,211,,,,,,,,,,,,
,,,,,,,,,,,,,,19894,13525,6369,,,27853,15935,2991,8927,,,,,,,,,,27162,1164,13,89,51,184,2268,1,0,35,256,125,,,,,,,,,,,,
,,,,,,,,,,,,,,27853,18240,9613,,,17382,10813,2869,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17382,11297,6085,,,27162,14818,2124,10220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,27162,17827,9335,,,,,,,,,,,,,,,,,3.83%,0.05%,0.24%,0.08%,0.35%,6.67%,0.01%,0.01%,0.09%,0.92%,0.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,51.46%,5.05%,43.49%,,,,,,,,,,,4.12%,0.02%,0.52%,0.30%,1.43%,9.72%,0.00%,0.02%,0.13%,1.72%,0.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,57.21%,10.74%,32.05%,,,,,,,,,,,4.01%,0.03%,0.98%,0.41%,2.56%,11.20%,0.00%,0.05%,0.09%,2.11%,1.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,68%,32%,,,,62.21%,16.51%,21.29%,,,,,,,,,,,4.29%,0.05%,0.33%,0.19%,0.68%,8.35%,0.00%,0.00%,0.13%,0.94%,0.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,65%,35%,,,,54.55%,7.82%,37.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,65%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,66%,34%,,,,,,,,,,,,,,,,,Sum of attribution_technical_email,Sum of attribution_technical_facebook,Sum of attribution_technical_facebook_organic,Sum of attribution_technical_search,Sum of attribution_technical_youtube,Sum of attribution_survey_facebook,Sum of attribution_survey_direct_mail,Sum of attribution_survey_search,Sum of attribution_survey_youtube,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19894,2145,4570,426,3559,184,9088,25,1203,701,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27853,3378,8721,447,2827,105,13364,78,1062,297,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17382,2216,5384,224,1435,56,7028,42,710,141,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27162,3390,7223,524,3700,97,13523,62,1117,385,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,23%,2%,18%,1%,46%,0%,6%,4%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,31%,2%,10%,0%,48%,0%,4%,1%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,31%,1%,8%,0%,40%,0%,4%,1%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,27%,2%,14%,0%,50%,0%,4%,1%,,,,,,,,,,,,,,